researcher_id,institution_id,start_year,role
R001,I002,2010,Principal Investigator
R002,I001,2012,Associate Professor
R003,I008,2008,Professor
R004,I007,2011,Associate Professor
R005,I010,2015,Chief Medical Officer
R006,I001,2005,Professor
R007,I003,2014,Associate Professor
R008,I007,2013,Principal Investigator
R009,I008,2007,Professor
R010,I001,2009,Associate Professor
R011,I011,2013,Professor
R012,I012,2011,Principal Investigator
R013,I002,2016,Associate Professor
R014,I011,2009,Professor
R015,I013,2012,Chief Scientific Officer
R016,I012,2007,Professor
R017,I007,2018,Associate Professor
R018,I012,2010,Professor
R019,I011,2019,Principal Investigator
R020,I020,2015,Associate Professor
